cores,gap,cdf
4,0.02880582284727362,0.25
4,0.03349362620962992,0.26
4,0.034375300616168225,0.27
4,0.03460661923645536,0.28
4,0.03636244054530846,0.29
4,0.03640199997933902,0.3
4,0.03706205108233207,0.31
4,0.03985411083610413,0.32
4,0.045030678017569103,0.33
4,0.05197305676718189,0.34
4,0.05387409200968518,0.35
4,0.060083762886598,0.36
4,0.06309456523334855,0.37
4,0.07216241488443464,0.38
4,0.07279293513528762,0.39
4,0.0891371713505058,0.4
4,0.09120620202173746,0.41
4,0.09736241288151892,0.42
4,0.1101908001774885,0.43
4,0.12897972748421394,0.44
4,0.12903879266686924,0.45
4,0.12963418231881207,0.46
4,0.1300513239457699,0.47
4,0.13816763569390766,0.48
4,0.1449348044132397,0.49
4,0.1665510483419399,0.5
4,0.17229280665085356,0.51
4,0.17764797582732705,0.52
4,0.18420940092616345,0.53
4,0.18519513614954675,0.54
4,0.18908306827943266,0.55
4,0.19982607206150726,0.56
4,0.2025629209303359,0.57
4,0.20456930411057472,0.58
4,0.22046774177594153,0.59
4,0.22360887208849856,0.6
4,0.23702349430504777,0.61
4,0.24130022144890861,0.62
4,0.24316795904539634,0.63
4,0.25260663507109005,0.64
4,0.25599700759485433,0.65
4,0.28201226140266966,0.66
4,0.29618161460947445,0.67
4,0.3223908695140605,0.68
4,0.3308310603683411,0.69
4,0.35892967564225087,0.7
4,0.3610434782608696,0.71
4,0.36717774236616574,0.72
4,0.3740588172081527,0.73
4,0.38114458699726117,0.74
4,0.3820945753237124,0.75
4,0.39482461184588846,0.76
4,0.3970337174562526,0.77
4,0.4244029599730912,0.78
4,0.4250647008077797,0.79
4,0.4605691056910568,0.8
4,0.4610102991662579,0.81
4,0.4652386687179344,0.82
4,0.48027356997512993,0.83
4,0.48413787844124156,0.84
4,0.5449966420416388,0.85
4,0.5476006618863762,0.86
4,0.5745992714025501,0.87
4,0.599763218991682,0.88
4,0.6073985149615402,0.89
4,0.6112407493832923,0.9
4,0.6359844754677635,0.91
4,0.6590344827586208,0.92
4,1.1206575039712687,0.93
4,1.1720021181341163,0.94
4,1.1906919019547004,0.95
4,1.2662988966900701,0.96
4,1.3488871010994905,0.97
4,1.3521480804387567,0.98
4,1.4566765578635015,0.99
4,1.7621502209131075,1.0
5,0.0022725340136053873,0.01
5,0.00423837932958504,0.02
5,0.00478242341019941,0.03
5,0.005259395424836555,0.04
5,0.005842185402095801,0.05
5,0.009024843475628819,0.06
5,0.011174905475423547,0.07
5,0.011254805292383097,0.08
